"id"	"date"	"price"	"bedrooms"	"bathrooms"	"sqft_living"	"sqft_lot"	"floors"	"waterfront"	"condition"	"grade"	"sqft_above"	"sqft_basement"	"yr_built"	"zipcode"	"lat"	"long"	"sqft_living15"	"sqft_lot15"
1563102435	"12/10/2014"	950000	3	1.75	2150	4200	1	0	5	8	1140	1010	1960	98116	47.5671	-122.405	2510	7500
5041300100	"7/10/2014"	639000	4	2	1840	5419	1	0	4	7	920	920	1942	98199	47.6483	-122.404	1800	5419
2652501565	"4/23/2015"	1550000	3	3.25	3530	4920	2	0	3	9	2660	870	2015	98109	47.641	-122.357	1900	4200
452001310	"8/25/2014"	5e+05	2	1	960	5000	1	0	4	7	960	0	1900	98107	47.6755	-122.367	1330	5000
1823049202	"1/7/2015"	326000	6	1.5	1930	8400	1	0	3	7	1030	900	1971	98146	47.4869	-122.34	1780	9520
8901001335	"11/3/2014"	637000	4	2.75	2850	7510	2	0	3	8	2850	0	2008	98125	47.7097	-122.305	1510	8833
1336300445	"4/22/2015"	1265000	4	3	3130	2646	2.5	0	5	9	2290	840	1906	98102	47.6272	-122.316	2920	4500
464000600	"8/27/2014"	641250	3	2.5	2220	2550	3	0	3	10	2220	0	1990	98117	47.6963	-122.393	2200	5610
9368700270	"4/1/2015"	137900	3	1.75	1160	5082	1	0	3	6	580	580	1942	98178	47.503	-122.262	1730	6000
5309100515	"1/20/2015"	537000	4	1.75	1580	3635	1	0	4	7	790	790	1910	98117	47.6795	-122.371	1190	3638
3644100095	"2/5/2015"	352900	2	1.5	1240	1892	2	0	3	7	1240	0	2002	98144	47.5915	-122.295	1220	1740
7518507330	"7/24/2014"	535610	3	1	1610	5100	1.5	0	5	7	1010	600	1901	98117	47.6765	-122.386	1270	5100
7600057	"8/5/2014"	520000	3	2	1410	2700	2	0	4	7	1410	0	1902	98122	47.6029	-122.302	1750	4000
4468400214	"10/10/2014"	318000	3	2.25	1250	1017	3	0	3	8	1250	0	2008	98133	47.7099	-122.333	1250	1017
1868903130	"2/12/2015"	542000	4	1	1540	5000	1.5	0	4	7	1090	450	1922	98115	47.6754	-122.294	1590	5000
1959700445	"7/25/2014"	1300000	4	1.75	4060	5500	2	0	5	9	2660	1400	1924	98102	47.6437	-122.321	3320	5500
2770605420	"9/16/2014"	550000	2	0.75	1040	4000	1	0	3	7	930	110	1909	98119	47.6489	-122.372	1700	4800
2328800130	"12/17/2014"	220000	3	1.75	1900	7680	1	0	3	7	1260	640	1959	98178	47.5081	-122.266	2000	7740
8701600030	"11/13/2014"	518000	5	1	1590	5000	1.5	0	3	7	1190	400	1929	98116	47.5752	-122.381	1590	5000
9136100056	"5/28/2014"	875000	3	2.75	2280	4280	1	0	5	7	1280	1000	1917	98103	47.6685	-122.335	1650	4280
925049278	"3/4/2015"	607000	4	2	1490	4054	1.5	0	5	7	1490	0	1926	98115	47.6744	-122.301	1510	3889
7996700220	"4/30/2015"	375000	2	2.25	1640	2240	2	0	3	8	1640	0	1980	98133	47.7154	-122.341	1640	2240
3348401319	"5/12/2014"	372500	5	3	2480	10090	1	0	3	7	1300	1180	2004	98178	47.4964	-122.263	2290	9900
2025049006	"11/12/2014"	750000	7	2.75	3410	4056	1.5	0	4	8	2130	1280	1906	98102	47.6454	-122.316	2510	4056
3034200516	"2/17/2015"	547000	2	1	1370	10038	1.5	0	4	7	1370	0	1922	98133	47.719	-122.339	1610	8822
1930301325	"4/23/2015"	1025000	3	2.75	2780	4000	2	0	5	8	1960	820	1904	98103	47.6565	-122.355	1490	4800
8813400405	"6/16/2014"	763101	3	1.75	1990	5560	1	0	4	7	1100	890	1939	98105	47.664	-122.287	1460	3706
